Var1,Gene_matrix1,Gene_matrix2,Gene_matrix3,Gene_matrix4,Gene_matrix5
0,1,0,1,1,0
100,1,0,1,0,1
10005,1,1,1,1,1
10007,0,1,0,0,0
100137049,1,0,1,0,1
10020,1,0,1,0,1
10026,1,0,1,1,0
100287639,0,1,1,0,0
100288072,1,0,1,0,1
10050,0,0,1,1,0
100507855,1,1,0,0,0
100526794,0,0,0,1,1
10057,1,1,1,1,1
10058,0,1,1,1,0
10060,1,0,1,0,1
10087,1,1,1,1,0
10090,0,0,1,1,0
10135,1,1,0,0,1
10157,0,0,0,0,1
10164,0,0,0,1,1
10165,1,1,0,1,1
10166,0,1,0,1,1
10170,0,1,0,1,0
10201,0,1,1,1,1
10202,1,0,1,1,0
10229,1,0,0,1,1
10246,1,0,0,0,1
10249,0,1,1,0,0
10257,1,1,0,1,1
102724197,1,1,0,0,0
102724560,1,1,0,0,0
10312,1,0,1,1,1
10317,1,1,1,1,1
10327,1,1,1,1,0
10331,1,0,1,1,0
10351,0,0,1,1,0
1036,1,1,0,0,0
10380,1,0,0,0,1
10390,0,0,1,1,1
10396,1,1,0,1,0
1040,1,1,1,0,0
10400,1,1,1,1,1
10402,0,1,0,0,1
10423,1,1,0,1,1
10449,1,1,0,0,1
10455,1,1,0,0,1
10476,0,1,1,0,1
10478,1,0,1,0,0
10553,0,1,0,1,1
10554,0,1,1,1,0
10555,1,0,1,0,1
10558,0,0,1,0,0
10559,0,1,1,1,0
1056,0,1,0,1,1
10560,0,0,1,1,0
10568,0,1,1,0,0
10587,0,0,1,1,0
10588,1,0,0,0,1
10599,0,0,1,1,0
10606,1,0,0,1,1
10610,1,0,1,0,0
10632,0,0,1,1,1
10654,1,1,0,1,0
1066,0,0,1,0,1
10678,1,1,1,1,1
10682,0,1,1,1,0
10690,1,1,0,0,0
107,0,1,0,0,1
10715,1,1,1,0,0
10720,1,0,1,1,0
10723,1,0,1,0,1
10724,1,0,0,0,1
10728,1,1,0,0,1
10768,1,1,0,0,1
10786,0,0,0,1,1
10797,1,1,1,1,0
108,0,0,1,0,1
1080,1,0,1,0,1
10825,0,1,0,1,1
10826,1,0,0,1,1
10840,1,1,0,0,0
10841,0,1,1,1,1
10846,0,1,1,1,0
10858,0,0,1,1,0
10861,1,1,1,0,0
10864,1,1,0,0,1
10870,0,1,0,1,1
10873,1,0,1,0,0
109,0,1,0,0,1
10901,1,1,1,0,0
10919,0,1,0,0,1
10928,1,0,0,1,1
10935,0,0,1,1,1
10941,1,0,0,1,0
10948,1,1,0,1,1
10965,0,1,1,1,0
10975,1,0,1,0,0
10991,0,0,1,1,1
10993,1,0,1,1,0
10998,0,1,1,1,1
10999,1,0,0,0,1
11000,0,1,1,0,0
11001,0,1,1,1,0
1103,1,1,1,1,1
11041,0,1,0,0,1
11046,1,0,1,0,1
1109,1,1,0,0,1
111,0,1,1,0,1
11102,1,1,1,0,0
11112,0,0,1,0,0
11136,1,0,0,1,1
11164,0,1,0,1,1
1118,1,0,1,1,1
11181,0,0,1,1,1
11182,1,0,1,0,0
1119,1,1,1,1,0
112,1,0,1,0,1
1120,1,1,1,1,1
11212,0,0,1,1,0
11226,0,0,0,1,1
11227,1,1,0,0,0
11238,0,1,1,1,0
112483,1,0,0,1,1
11254,0,1,0,1,0
112611,1,1,0,0,0
112724,1,0,0,1,1
11283,1,1,0,1,0
11285,1,1,0,0,1
113,1,0,0,1,0
113026,0,1,1,0,1
11309,1,1,0,1,0
113189,1,1,0,0,1
113235,1,0,0,0,1
113278,0,1,0,0,1
11332,0,0,1,1,0
11343,1,1,1,1,1
113451,1,0,1,1,0
113612,1,0,1,0,1
113675,0,1,1,0,0
114,0,1,0,1,0
114134,1,1,0,1,0
114571,1,0,0,1,1
