Gene_Numeration,RHC3579__Epithelial___2749FE,RHC3591__Epithelial___2749FE,RHC3597__Epithelial___2749FE,RHC3599__Epithelial___2749FE,RHC3621__Epithelial___2749FE,RHC3629__Epithelial___2749FE,RHC3641__Epithelial___2749FE,RHC3836__Epithelial___2749FE,RHC3839__Epithelial___2749FE,RHC3840__Epithelial___2749FE,RHC3848__Epithelial___2749FE,RHC3849__Epithelial___2749FE,RHC3855__Epithelial___2749FE,RHC3863__Epithelial___2749FE,RHC3868__Epithelial___2749FE,RHC3870__Epithelial___2749FE,RHC3871__Epithelial___2749FE,RHC3874__Epithelial___2749FE,RHC3879__Epithelial___2749FE,RHC3881__Epithelial___2749FE,RHC3884__Epithelial___2749FE,RHC3897__Epithelial___2749FE,RHC3898__Epithelial___2749FE,RHC3902__Epithelial___2749FE,RHC3915__Epithelial___2749FE,RHC3922__Epithelial___2749FE,RHC3923__Epithelial___2749FE,RHC3901__Epithelial___2749FE,RHC3903__Epithelial___2749FE,RHC3905__Epithelial___2749FE,RHC3914__Epithelial___2749FE,RHC3947__Epithelial___2749FE,RHC4021__Epithelial___2749FE,RHC4123__Epithelial___2749FE,RHC4124__Epithelial___2749FE,RHC4131__Epithelial___2749FE,RHC4050__Epithelial___2749FE,RHC4065__Epithelial___2749FE,RHC4073__Epithelial___2749FE,RHC4859__Epithelial___2749FE,RHC4877__Epithelial___2749FE,RHC4878__Epithelial___2749FE,RHC4890__Epithelial___2749FE,RHC4902__Epithelial___2749FE,RHC4915__Epithelial___2749FE,RHC4922__Epithelial___2749FE,RHC4926__Epithelial___2749FE,RHC4931__Epithelial___2749FE,RHC4938__Epithelial___2749FE,RHC4944__Epithelial___2749FE,RHC4945__Epithelial___2749FE,RHC4947__Epithelial___2749FE,RHL2672__Epithelial___2749FE,RHL2716__Epithelial___2749FE,RHL2717__Epithelial___2749FE,RHL2723__Epithelial___2749FE,RHL2724__Epithelial___2749FE,RHL2733__Epithelial___2749FE,RHL2747__Epithelial___2749FE,RHL2758__Epithelial___2749FE,RHL2759__Epithelial___2749FE,RHL2760__NA__grey,RHL2765__Epithelial___2749FE,RHL2766__Epithelial___2749FE,RHL2769__Epithelial___2749FE,RHL2770__Epithelial___2749FE,RHL2779__Epithelial___2749FE,RHL2780__Epithelial___2749FE,RHL2781__Epithelial___2749FE,RHL2791__Epithelial___2749FE,RHC5544__Epithelial___2749FE,RHC5546__Epithelial___2749FE,RHC5549__Epithelial___2749FE,RHC5550__Epithelial___2749FE,RHC5552__Epithelial___2749FE,RHC5553__Epithelial___2749FE,RHC5554__Epithelial___2749FE,RHC5555__Epithelial___2749FE,RHC5557__Epithelial___2749FE,RHC5558__Epithelial___2749FE,RHC5566__Epithelial___2749FE,RHC5567__Epithelial___2749FE,RHC5569__Epithelial___2749FE,RHC5574__Epithelial___2749FE,RHC5575__Epithelial___2749FE,RHC5577__Epithelial___2749FE,RHC5582__Epithelial___2749FE,RHC5586__Epithelial___2749FE,RHC5592__Epithelial___2749FE,RHC5597__Epithelial___2749FE,RHC5598__Epithelial___2749FE,RHC5599__Epithelial___2749FE,RHC5610__Epithelial___2749FE,RHC5611__Epithelial___2749FE,RHC5624__Epithelial___2749FE,RHC5627__Epithelial___2749FE,RHC5629__Epithelial___2749FE,RHC5632__Epithelial___2749FE,RHC5637__Epithelial___2749FE,RHC5643__Epithelial___2749FE,RHC5647__Epithelial___2749FE,RHC5707__Epithelial___2749FE,RHC5768__Epithelial___2749FE,RHC5790__Epithelial___2749FE,RHC5815__Epithelial___2749FE,RHC5896__Epithelial___2749FE
2519_2,0,0,2.55744,101.549,0.464586,17.1562,0,0,0.369222,0,0.527279,0.433453,0.909641,0,0,28.6601,5.13551,0,0.0911775,0,0,7.85742,0,4.90708,48.6704,0,0,470.112,0,49.4939,7.9897,4.01379,0,0,0,42.1657,0,6.17963,0,0,0,15.0007,5.75897,0,13.2605,54.6463,0,0,7.74679,18.2982,14.1258,19.0651,0,291.368,68.2335,0,23.523,45.5094,8.02543,24.4482,0,0,61.0838,5.77711,0,28.0086,657.643,9.49516,10.4129,55.2224,11.1491,14.859,32.2229,54.5437,0,45.1641,1.82135,0,65.9198,0,4.38109,283.51,47.512,0,14.6898,78.3028,150.164,0,6.78722,0,12.863,0,37.4972,0,0,31.1283,0,91.6757,593.088,3.21897,954.21,15.3572,1.07504,0,0,0
2729_2,89.9256,9.47688,6.86556,0,0.552876,1.44174,0,23.9432,0,0,0,0,0,165.92,0,0,0,0,0,0,5.92773,18.4196,0,117.438,43.6134,0,24.2626,0,0,0,2.47516,0,0,0,0,33.402,0,0,0,0,0.681905,174.323,3.66016,7.10886,0,2.16655,92.7195,0,51.9538,0,65.1711,0,9.79717,0,0,0,5.40412,0,216.215,415.682,90.5821,0,0,6.39698,9.57693,2.22457,0,5.25456,33.8272,0,0,0,0,0,0,0,64.2025,18.1259,0,8.29484,20.0922,699.613,17.5615,0,12.7423,0,0,6.26068,7.45041,124.349,60.3397,0,0.402613,11.9195,142.183,0,0,10.3942,0,0,0,121.706,0,0,0,0
1080_2,104.742,26.1449,54.5858,0.156371,1.36789,287.611,177.565,156.321,49.0278,121.515,3.50677,34.9125,0,82.3229,0.390223,0,11.1914,1.7449,230.67,395.528,91.505,227.965,0,36.61,69.6265,113.367,8.24572,0,182.26,0,83.849,100.539,0,38.5617,64.5217,9.58261,14.0096,27.2364,0,23.6905,0.818648,28.5208,71.8184,38.1349,0,50.7739,329.602,0,309.226,146.818,2.81201,35.5939,1.01343,197.606,3.53768,96.9516,266.478,18.7744,202.094,72.9594,194.143,498.803,29.2032,167.559,9.8226,154.368,2.92334,443.619,146.588,190.686,16.1807,169.027,154.302,160.782,184.434,354.749,52.4757,2.93286,0.712228,278.162,221.66,68.5731,117.475,2.23742,65.6543,70.9652,205.262,0,3.47292,0,36.2513,152.23,107.457,36.1357,14.6945,74.0015,6.37307,11.2814,381.05,28.5416,19.9801,31.7559,0.562267,0,59.7912,36.4348
1595_2,32.2808,7.02843,0.616081,0.0590636,18.8101,42.2803,64.1168,0,277.366,311.372,96.5557,34.5031,27.8277,0,0,0,5.80818,37.2585,167.374,838.728,24.98,46.7584,0,12.8289,26.322,6.4746,151.332,57.4613,0,0,14.0121,874.132,1.04534,0,0.0744808,1.30611,0,0,80.1484,38.3305,40.0241,16.6701,490.534,121.118,4.55417,142.697,0,34.0075,115.603,0,2.08238,147.333,19.4034,277.288,103.627,39.3978,0,125.481,98.0503,5.82552,157.62,0,100.03,6.77941,86.2242,357.629,47.9722,342.919,13.77,7.12712,145.256,62.003,32.639,7.86358,608.963,100.194,35.1218,13.1588,28.357,75.782,48.3195,39.0185,2.2125,0,27.6439,164.856,224.748,264.369,175.586,0,48.6445,0,54.1561,157.436,18.9915,33.0943,0,215.681,37.3595,152.775,0,499.934,2.69198,0,0.595604,654.223
51056_2,2.10717,0,0,0,0,9.15134,0,0,0,241.422,0,0,170.456,0,1.34298,29.3728,0,0,0,0,5.55142,0,0,69.4473,50.916,0,4.70004,0,0,0,0,0,0,0,52.9621,2.92385,0,0,0,81.4026,0,1.33317,61.0947,4.60554,0,0,14.6468,169.899,0,21.0025,0,0,0,45.5258,0,12.3341,0,13.0926,20.3745,15.2821,5.03466,24.801,0,4.54442,0,0,0,172.808,0,0,0,71.2975,122.629,41.9759,0,17.3039,0,181.241,114.838,0,0,0,0,677.472,1.36814,2.33304,0,84.0616,0,0,17.2963,0,0,0,0,41.1101,0,0,0,0,0,0,517.962,0,0,0
9957_2,0,0,0,0,0.200371,0.209549,0,0,0,0,0,0,0,0,0,0,0,0.518751,0.125204,8.1154,2.10565,0,23.8946,0,2.68868,0,0,0,0,0.6864,0,0,0,0,0.117943,0.504842,0.470393,0.075023,0,0,0,0,0,0,0.503883,1.50263,0,0.806149,0,0,0,0.268488,0,0,0,0,0,0,0,0,0,0,0,0.53144,0,0,0,0,0,0,0,0,0.128302,0.374275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26_2,61.8718,0,10.6128,0,4.2236,176.086,0,0,0,0.959444,0,0,0,0,0,0,0,0,0,0,8.56329,15.2611,0,26.6785,0,0,0,0,0,0,44.604,0.657172,0,0,120.708,0,0,0,0,0,395.656,0,0,0,0,0,0,0,0,31.1343,28.1442,1.30493,0,17.6399,0,71.8021,0,0,7.33134,0,4.19384,0,0,0,0,0,0,2.28051,0,0,36.6906,28.7898,239.338,125.001,0,1.7491,6.40585,0,573.642,0.811836,0,0,0,0,60.0908,6.39457,179.602,0,72.2958,0,81.4679,0,1.91765,0,4.69365,0,23.8819,2.25712,281.653,0,0.248342,0,0,0,0,0
9108_2,0,0,0.982964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6542_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0696073,0,0,0.168858,0,0,0,30.4334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204_2,0,362.961,0.524793,6.87866,73.3662,0,0,0,5.32226,173.766,41.8847,0.847915,0,3.40448,0,5.0725,53.5973,0,50.1518,8.16504,0,44.2695,38.7856,0,0,11.9326,0,56.5151,0,203.09,211.377,0,1623.23,0,0,93.7333,0,0,0,49.3414,80.8657,0,122.992,22.5826,138.085,0,0,42.9575,46.3788,0,0,0,57.6322,61.5301,0,94.9115,0,61.7455,83.4471,6.82785,16.7869,0,0,161.097,38.0492,6.10575,0,26.1835,0,6.33802,3.72904,181.129,2.38951,124.145,0,17.3094,3.29898,0,0,111.734,32.4603,13.7333,159.278,122.168,74.4812,60.2873,0,262.986,906.208,14.2813,133.121,0,71.6368,82.9981,40.9008,53.423,4.30579,75.1101,46.4454,0,138.446,0,2.40765,0,0.672469,0
