Cover,Percentile,Whole_Reaction_Formula
0.0025,5,0.150504869930835
0.0025,10,0.146319944865691
0.0025,20,0.169017287814752
0.0025,30,0.178270527552283
0.0025,40,0.190262933680751
0.0025,50,0.20298847572626
0.0025,60,0.244366872308818
0.0025,70,0.273018572749982
0.0025,80,0.381708091933614
0.0025,90,0.435453057835108
0.005,5,0.148721563517182
0.005,10,0.155216984884269
0.005,20,0.16730087179512
0.005,30,0.190106455163657
0.005,40,0.173891326081435
0.005,50,0.206305403693657
0.005,60,0.249388564190855
0.005,70,0.2841407024187
0.005,80,0.39744722195498
0.005,90,0.456705715470485
0.0075,5,0.152081449021631
0.0075,10,0.154140578084951
0.0075,20,0.13775567344879
0.0075,30,0.167298264647961
0.0075,40,0.19926541489651
0.0075,50,0.225692820129404
0.0075,60,0.255335554643374
0.0075,70,0.293385136113556
0.0075,80,0.401857382840956
0.0075,90,0.459739006369679
0.01,5,0.124942097453673
0.01,10,0.127087491162999
0.01,20,0.157032987352477
0.01,30,0.184568309640619
0.01,40,0.210470569438832
0.01,50,0.226430906680364
0.01,60,0.265354411919712
0.01,70,0.321960763347974
0.01,80,0.42038303724636
0.01,90,0.475365282107263
0.0125,5,0.126502510015755
0.0125,10,0.127662829114209
0.0125,20,0.153557784293503
0.0125,30,0.192077997750579
0.0125,40,0.214100784908047
0.0125,50,0.242152166315493
0.0125,60,0.277609919338344
0.0125,70,0.329174830874311
0.0125,80,0.431926838195126
0.0125,90,0.484288022008959
0.015,5,0.120104683310767
0.015,10,0.126937552249333
0.015,20,0.160545787549462
0.015,30,0.183963339720274
0.015,40,0.219615282612566
0.015,50,0.247377771821164
0.015,60,0.282563844787397
0.015,70,0.339862789007441
0.015,80,0.432886283741053
0.015,90,0.483696550753356
0.02,5,0.123297376255807
0.02,10,0.126459983250168
0.02,20,0.161124750574414
0.02,30,0.188849774884029
0.02,40,0.223601540320251
0.02,50,0.259278201438277
0.02,60,0.299417343886
0.02,70,0.342854230686655
0.02,80,0.438073842022868
0.02,90,0.48271802835456
0.05,5,0.172321286442819
0.05,10,0.175777088051582
0.05,20,0.190545075174537
0.05,30,0.228076180895736
0.05,40,0.266582117421908
0.05,50,0.291971381895154
0.05,60,0.329319649461589
0.05,70,0.386941182978783
0.05,80,0.45727897091
0.05,90,0.519692818967866
0.1,5,0.186364109820838
0.1,10,0.195546889944167
0.1,20,0.234543262118923
0.1,30,0.2589138170406
0.1,40,0.291046706543235
0.1,50,0.326800757054068
0.1,60,0.364618326289686
0.1,70,0.39616738608243
0.1,80,0.474826905358591
0.1,90,0.55886699395295
0.5,5,0.370438611882729
0.5,10,0.37505256000551
0.5,20,0.397815519342573
0.5,30,0.426251478162508
0.5,40,0.451221650826461
0.5,50,0.463417689299374
0.5,60,0.480730973882108
0.5,70,0.505782851145529
0.5,80,0.557472816654442
0.5,90,0.587931297958615
