GeneID	GeneSymbol	
8639	AOC3	
26	AOC1	
314	AOC2	
1591	CYP24A1	
1594	CYP27B1	
10993	SDS	
6818	SULT1A3	
89874	SLC25A21	
92483	LDHAL6B	
3948	LDHC	
55293	UEVLD	
3945	LDHB	
3939	LDHA	
160287	LDHAL6A	
9123	SLC16A3	
9194	SLC16A7	
6566	SLC16A1	
57835	SLC4A5	
8671	SLC4A4	
4967	OGDH	
1738	DLD	
8050	PDHX	
1743	DLST	
130	ADH6	
127	ADH4	
125	ADH1B	
124	ADH1A	
131	ADH7	
126	ADH1C	
128	ADH5	
137872	ADHFE1	
1312	COMT	
117247	SLC16A10	
218	ALDH3A1	
222	ALDH3B2	
220	ALDH1A3	
221	ALDH3B1	
3242	HPD	
18	ABAT	
2531	KDSR	
23498	HAAO	
55268	ECHDC2	
51166	AADAT	
883	KYAT1	
1644	DDC	
4128	MAOA	
4129	MAOB	
10165	SLC25A13	
8604	SLC25A12	
51380	CSAD	
2571	GAD1	
2572	GAD2	
2805	GOT1	
2806	GOT2	
8659	ALDH4A1	
6799	SULT1A2	
6817	SULT1A1	
4363	ABCC1	
6822	SULT2A1	
6573	SLC19A1	
316	AOX1	
6570	SLC18A1	
6571	SLC18A2	
2348	FOLR1	
2352	FOLR3	
4125	MAN2B1	
53947	A4GALT	
51146	A4GNT	
28	ABO	
206358	SLC36A1	
6529	SLC6A1	
6538	SLC6A11	
6540	SLC6A13	
6539	SLC6A12	
38	ACAT1	
3032	HADHB	
10449	ACAA2	
3030	HADHA	
39	ACAT2	
30	ACAA1	
32	ACACB	
9197	SLC33A1	
84532	ACSS1	
79611	ACSS3	
64841	GNPNAT1	
55577	NAGK	
5238	PGM3	
9487	PIGL	
162417	NAGS	
43	ACHE	
6572	SLC18A3	
47	ACLY	
54187	NANS	
26503	SLC17A5	
140838	NANP	
54	ACP5	
51205	ACP6	
36	ACADSB	
34	ACADM	
80724	ACAD10	
35	ACADS	
84129	ACAD11	
27034	ACAD8	
28976	ACAD9	
3712	IVD	
134526	ACOT12	
51	ACOX1	
95	ACY1	
50	ACO2	
48	ACO1	
8309	ACOX2	
52	ACP1	
55	ACP3	
788	SLC25A20	
55902	ACSS2	
65985	AACS	
438	ASMT	
1571	CYP2E1	
100	ADA	
3177	SLC29A2	
205	AK4	
204	AK2	
26289	AK5	
50808	AK3	
262	AMD1	
112	ADCY6	
55811	ADCY10	
109	ADCY3	
114	ADCY8	
108	ADCY2	
113	ADCY7	
107	ADCY1	
196883	ADCY4	
115	ADCY9	
111	ADCY5	
2030	SLC29A1	
9154	SLC28A1	
64078	SLC28A3	
9153	SLC28A2	
55315	SLC29A3	
11164	NUDT5	
952	CD38	
1375	CPT1B	
126129	CPT1C	
1374	CPT1A	
1376	CPT2	
9060	PAPSS2	
9061	PAPSS1	
158	ADSL	
79369	B3GNT4	
10678	B3GNT2	
11041	B4GAT1	
146712	B3GNTL1	
374907	B3GNT8	
93010	B3GNT7	
10331	B3GNT3	
79814	AGMAT	
10555	AGPAT2	
137964	GPAT4	
56895	AGPAT4	
56894	AGPAT3	
55326	AGPAT5	
10554	AGPAT1	
129642	MBOAT2	
64902	AGXT2	
64850	ETNPPL	
189	AGXT	
3073	HEXA	
3074	HEXB	
10606	PAICS	
8402	SLC25A11	
1468	SLC25A10	
64849	SLC13A3	
1645	AKR1C1	
1109	AKR1C4	
6718	AKR1D1	
6510	SLC1A5	
6509	SLC1A4	
56301	SLC7A10	
6520	SLC3A2	
212	ALAS2	
23464	GCAT	
211	ALAS1	
54407	SLC38A2	
6542	SLC7A2	
11254	SLC6A14	
6541	SLC7A1	
81539	SLC38A1	
55089	SLC38A4	
84889	SLC7A3	
340024	SLC6A19	
57393	CLTRN	
59272	ACE2	
2875	GPT	
84706	GPT2	
92745	SLC38A5	
10991	SLC38A3	
284273	PTGR3	
10327	AKR1A1	
216	ALDH1A1	
8854	ALDH1A2	
501	ALDH7A1	
223	ALDH9A1	
224	ALDH3A2	
219	ALDH1B1	
217	ALDH2	
239	ALOX12	
247	ALOX15B	
246	ALOX15	
240	ALOX5	
8574	AKR7A2	
231	AKR1B1	
23600	AMACR	
115286	SLC25A26	
271	AMPD2	
270	AMPD1	
272	AMPD3	
290	ANPEP	
280	AMY2B	
278	AMY1C	
276	AMY1A	
277	AMY1B	
6519	SLC3A1	
11136	SLC7A9	
279	AMY2A	
10998	SLC27A5	
113451	AZIN2	
9057	SLC7A6	
384	ARG2	
445	ASS1	
83884	SLC25A2	
10166	SLC25A15	
410	ARSA	
427	ASAH1	
9962	SLC23A2	
9963	SLC23A1	
80150	ASRGL1	
440	ASNS	
790	CAD	
6511	SLC1A6	
6505	SLC1A1	
6507	SLC1A3	
6506	SLC1A2	
6512	SLC1A7	
50617	ATP6V0A4	
533	ATP6V0B	
527	ATP6V0C	
8992	ATP6V0E1	
245972	ATP6V0D2	
9114	ATP6V0D1	
535	ATP6V0A1	
10312	TCIRG1	
23545	ATP6V0A2	
51382	ATP6V1D	
9296	ATP6V1F	
529	ATP6V1E1	
245973	ATP6V1C2	
523	ATP6V1A	
51606	ATP6V1H	
9550	ATP6V1G1	
526	ATP6V1B2	
127124	ATP6V1G3	
525	ATP6V1B1	
90423	ATP6V1E2	
534	ATP6V1G2	
528	ATP6V1C1	
954	ENTPD2	
953	ENTPD1	
956	ENTPD3	
955	ENTPD6	
957	ENTPD5	
377841	ENTPD8	
291	SLC25A4	
293	SLC25A6	
292	SLC25A5	
4126	MANBA	
8706	B3GALNT1	
8705	B3GALT4	
10317	B3GALT5	
84002	B3GNT5	
570	BAAT	
3141	HLCS	
140679	SLC32A1	
8424	BBOX1	
53630	BCO1	
622	BDH1	
23743	BHMT2	
635	BHMT	
10599	SLCO1B1	
1244	ABCC2	
8714	ABCC3	
28234	SLCO1B3	
645	BLVRB	
644	BLVRA	
9488	PIGB	
10380	BPNT1	
686	BTD	
8884	SLC5A6	
80704	SLC19A3	
51733	UPB1	
7108	TM7SF2	
50814	NSDHL	
3295	HSD17B4	
6307	MSMO1	
492	ATP2B3	
491	ATP2B2	
490	ATP2B1	
493	ATP2B4	
847	CAT	
6547	SLC8A3	
6546	SLC8A1	
6543	SLC8A2	
166785	MMAA	
2538	G6PC1	
57818	G6PC2	
92579	G6PC3	
1373	CPS1	
873	CBR1	
10423	CDIPT	
1040	CDS1	
8760	CDS2	
10390	CEPT1	
56994	CHPT1	
64781	CERK	
10087	CERT1	
6565	SLC15A2	
9023	CH25H	
1103	CHAT	
162466	PHOSPHO1	
5130	PCYT1A	
9468	PCYT1B	
6579	SLCO1A2	
6554	SLC10A1	
6555	SLC10A2	
8647	ABCB11	
55349	CHDH	
1120	CHKB	
1119	CHKA	
60482	SLC5A7	
6582	SLC22A2	
6584	SLC22A5	
6820	SULT2B1	
10948	STARD3	
19	ABCA1	
27159	CHIA	
54682	MANSC1	
1118	CHIT1	
9058	SLC13A2	
6576	SLC25A1	
1159	CKMT1B	
1160	CKMT2	
548596	CKMT1A	
1152	CKB	
1158	CKM	
5172	SLC26A4	
65010	SLC26A6	
54675	CRLS1	
10559	SLC35A1	
55907	CMAS	
8034	SLC25A16	
8824	CES2	
51805	COQ3	
51004	COQ6	
10229	COQ7	
9245	GCNT3	
2650	GCNT1	
51301	GCNT4	
192134	B3GNT6	
6535	SLC6A8	
386757	SLC6A10P	
1384	CRAT	
6583	SLC22A4	
1431	CS	
54677	CROT	
8140	SLC7A5	
23428	SLC7A8	
1036	CDO1	
124935	SLC43A2	
23657	SLC7A11	
978	CDA	
57379	AICDA	
7371	UCK2	
83549	UCK1	
